,name,rank,area,profile,homepage
0,Yagiz Aksoy,Assistant Professor,"Computational photography, computer graphics, computer vision and deep learning",http://www.sfu.ca/computing/people/faculty/yagizaksoy.html,http://yaksoy.github.io/
1,Saba Alimadadi,Assistant Professor,Software engineering,http://www.sfu.ca/computing/people/faculty/sabaalimadadi.html,http://www.sfu.ca/computing/people/faculty/sabaalimadadi.html
2,Ouldooz Baghban Karimi,Limited-Term Lecturer,Data & Networks,http://www.sfu.ca/computing/people/faculty/ouldoozbaghbankarimi.html,https://www.cs.sfu.ca/~oba2
3,Brad Bart,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/bradleybart.html,http://www.cs.sfu.ca/~bbart/
4,Andrei Bulatov,Professor,"Constraint Satisfaction, Complexity of Computation",http://www.sfu.ca/computing/people/faculty/andreibulatov.html,http://www.cs.sfu.ca/~abulatov/
5,Sheelagh Carpendale,Professor,Information Visualization,http://www.sfu.ca/computing/people/faculty/sheelaghcarpendale.html,https://www.cs.sfu.ca/~sheelagh/
6,Angel Chang,Assistant Professor,"Natural Language Processing, Artificial Intelligence, Computer Graphics",http://www.sfu.ca/computing/people/faculty/angelchang.html,http://angelxuanchang.github.io/
7,Victor Cheung,Limited-Term Lecturer,"Human-computer interaction, interface and interaction design",http://www.sfu.ca/computing/people/faculty/victor-cheung.html,
8,Diana Cukierman,University Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/dianacukierman.html,
9,Toby Donaldson,"Senior Lecturer
Associate Director",Instruction,http://www.sfu.ca/computing/people/faculty/tobydonaldson.html,
10,Martin Ester,Professor,Databases and Data Mining,http://www.sfu.ca/computing/people/faculty/martinester.html,https://sites.google.com/view/esterlab
11,Brian Fraser,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/brianfraser.html,http://www.cs.sfu.ca/~bfraser/
12,Uwe Glässer,Professor,"Software Technology, Distributed Communication Architectures",http://www.sfu.ca/computing/people/faculty/uweglasser.html,http://www.cs.sfu.ca/~glaesser/
13,Ghassan Hamarneh,Professor,"Medical Image Analysis (Computational/Artificial Intelligence, Computer Vision, Image Processing)",http://www.sfu.ca/computing/people/faculty/ghassanhamarneh.html,http://www.cs.sfu.ca/~hamarneh/
14,Hazra Imran,Limited-Term Lecturer,"Personalization and Adaptivity in Learning Systems, Game-based Learning",http://www.sfu.ca/computing/people/faculty/hazra-imran.html,
15,Lawrence Kim,,"Human-Computer Interaction, Human-Robot Interaction",http://www.sfu.ca/computing/people/faculty/lawrence-kim.html,https://www.lhkim.com/
16,Anne Lavergne,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/annelavergne.html,http://www.cs.sfu.ca/~alavergn/
17,Maxwell Libbrecht,Assistant Professor,Computational Biology and Machine Learning,http://www.sfu.ca/computing/people/faculty/maxlibbrecht11.html,http://www.cs.sfu.ca/~maxwl/
18,Jiangchuan (Jc) Liu,Professor,Networking and multimedia communications,http://www.sfu.ca/computing/people/faculty/jiangchuanliu.html,http://www.cs.sfu.ca/~jcliu/
19,Ali Mahdavi-Amiri,"Assistant Professor Of Professional Practice
Master Of Science In Professional Computer Science Chair And Program Director","Visual computing, computer graphics, artificial intelligence",http://www.sfu.ca/computing/people/faculty/ali-mahdavi-amiri.html,https://sites.google.com/site/alimahdaviamiri/
